           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
 4282978.085809 [0004]  <idle>                              0.000      0.000      0.000 
 4282978.085832 [0009]  perf[27031]                         0.000      0.000      0.000 
 4282978.086236 [0004]  sleep[27041]                        0.000      0.026      0.426 
 4282978.090898 [0004]  <idle>                              0.426      0.000      4.662 
 4282978.090901 [0004]  rcu_sched[8]                        0.000      0.002      0.002 
 4282978.102895 [0004]  <idle>                              0.002      0.000     11.993 
 4282978.102896 [0004]  rcu_sched[8]                       11.993      0.002      0.001 
 4282978.102901 [0005]  <idle>                              0.000      0.000      0.000 
 4282978.102903 [0005]  rcu_sched[8]                        0.004      0.001      0.002 
 4282978.110889 [0005]  <idle>                              0.002      0.000      7.986 
 4282978.110892 [0005]  rcu_sched[8]                        7.986      0.003      0.002 
 4282978.125700 [0004]  <idle>                              0.001      0.000     22.803 
 4282978.125700 [0010]  <idle>                              0.000      0.000      0.000 
 4282978.125710 [0004]  fzf[8489/4922]                      0.000      0.002      0.010 
 4282978.125710 [0010]  fzf[18638/18636]                    0.000      0.002      0.010 
 4282978.126651 [0002]  <idle>                              0.000      0.000      0.000 
 4282978.126651 [0008]  <idle>                              0.000      0.000      0.000 
 4282978.126657 [0002]  fzf[4923/4922]                      0.000      0.003      0.006 
 4282978.126657 [0008]  fzf[18637/18636]                    0.000      0.003      0.006 
 4282978.126852 [0010]  <idle>                              0.010      0.000      1.141 
 4282978.126852 [0004]  <idle>                              0.010      0.000      1.141 
 4282978.126864 [0004]  fzf[8489/4922]                      1.141      0.001      0.011 
 4282978.126864 [0010]  fzf[18638/18636]                    1.141      0.001      0.011 
 4282978.126889 [0001]  <idle>                              0.000      0.000      0.000 
 4282978.126892 [0011]  <idle>                              0.000      0.000      0.000 
 4282978.126896 [0001]  fzf[10391/4922]                     0.000      0.030      0.006 
 4282978.126898 [0011]  fzf[18646/18636]                    0.000      0.032      0.006 
 4282978.127631 [0004]  <idle>                              0.011      0.000      0.767 
 4282978.127642 [0004]  nextword[10831/10830]               0.000      0.001      0.011 
 4282978.127670 [0011]  <idle>                              0.006      0.000      0.771 
 4282978.127717 [0002]  <idle>                              0.006      0.000      1.060 
 4282978.127750 [0000]  <idle>                              0.000      0.000      0.000 
 4282978.127780 [0010]  <idle>                              0.011      0.000      0.916 
 4282978.127781 [0000]  nextword[10834/10830]               0.000      0.027      0.031 
 4282978.127785 [0002]  nextword[24538/10830]               0.000      0.025      0.067 
 4282978.127789 [0010]  nextword[10833/10830]               0.000      0.023      0.009 
 4282978.127797 [0010]  <idle>                              0.009      0.000      0.008 
 4282978.127798 [0011]  nextword[2702/10830]                0.000      0.029      0.128 
 4282978.127802 [0011]  <idle>                              0.128      0.000      0.003 
 4282978.127804 [0010]  nextword[10833/10830]               0.008      0.004      0.006 
 4282978.127828 [0011]  nextword[2702/10830]                0.003      0.000      0.026 
 4282978.127858 [0010]  <idle>                              0.006      0.000      0.054 
 4282978.127860 [0010]  nextword[10833/10830]               0.054      0.000      0.002 
 4282978.127950 [0005]  <idle>                              0.002      0.000     17.058 
 4282978.128009 [0005]  :27060                              0.000      0.002      0.059 
 4282978.128033 [0006]  <idle>                              0.000      0.000      0.000 
 4282978.128206 [0007]  <idle>                              0.000      0.000      0.000 
 4282978.128406 [0006]  bash[25449]                         0.000      0.025      0.372 
 4282978.128434 [0008]  <idle>                              0.006      0.000      1.776 
 4282978.128659 [0004]  <idle>                              0.011      0.000      1.017 
 4282978.128804 [0000]  <idle>                              0.031      0.000      1.022 
 4282978.128927 [0007]  bash[27061]                         0.000      0.022      0.720 
 4282978.129206 [0011]  <idle>                              0.026      0.000      1.377 
 4282978.129210 [0004]  bash[27063]                         0.000      0.033      0.550 
 4282978.129284 [0000]  base64[27065]                       0.000      0.030      0.480 
 4282978.129545 [0011]  cat[27066]                          0.000      0.031      0.338 
 4282978.129883 [0005]  <idle>                              0.059      0.000      1.873 
 4282978.129895 [0008]  xclip[27062]                        0.000      0.027      1.461 
 4282978.129956 [0005]  Xorg[1930]                          0.000      0.032      0.073 
 4282978.129973 [0008]  <idle>                              1.461      0.000      0.078 
 4282978.130000 [0005]  <idle>                              0.073      0.000      0.043 
 4282978.130001 [0008]  xclip[27062]                        0.078      0.025      0.028 
 4282978.130010 [0005]  Xorg[1930]                          0.043      0.000      0.010 
 4282978.130040 [0008]  <idle>                              0.028      0.000      0.038 
 4282978.130049 [0005]  <idle>                              0.010      0.000      0.039 
 4282978.130051 [0008]  xclip[27062]                        0.038      0.033      0.010 
 4282978.130058 [0005]  Xorg[1930]                          0.039      0.000      0.008 
 4282978.130089 [0008]  <idle>                              0.010      0.000      0.038 
